model_name,label,x,y,z,r2_0,r2_1,r2_2,r2_3
model_23,env,0,0,0,-1.986195973008213,-1.9785152804423847,-1.9856818104242433,-1.983579034571481
model_23,env,1,0,0,-1.9042548029824151,-1.8897424200846045,-1.9058838687238797,-1.8941252638187152
model_23,env,2,0,0,-1.8997255811258857,-1.900221865916555,-1.8894310393677114,-1.9069995648066644
model_23,env,3,0,0,-1.9063991999167076,-1.9238613624346574,-1.9112230386638513,-1.9066502161015322
model_23,env,4,0,0,-1.925684056190434,-1.9377429634971022,-1.9145288393546163,-1.9295226561505179
model_23,env,5,0,0,-1.9219359108510434,-1.9450484017179939,-1.9282014229206816,-1.9470864426131356
model_23,env,1,1,1,-1.9727192128060804,-1.9720250543536322,-1.9784053775463133,-1.9807536598288413
model_23,env,5,1,1,-1.963624027435455,-1.96419522926967,-1.9672829171279131,-1.9770273922051054
model_23,env,4,2,2,-1.9682606631490573,-1.9740976689993057,-1.9683668646889423,-1.9502390442268416
model_23,env,4,4,4,-2.00058377397706,-1.9803973026667832,-2.0047830506852566,-1.9967374874871324
model_23,env,2,2,2,-1.972406727876205,-1.958116037558451,-1.9580443560742142,-1.9523388375686301
model_0,cos,0,0,0,0.8954533752243431,0.895463101056725,0.8954640091880339,0.8954386424893168
model_0,cos,1,0,0,0.9449866182036757,0.944972167695159,0.9449002905558817,0.9449603644879409
model_0,cos,2,0,0,0.9575223127833086,0.9576030531368176,0.9575419348226157,0.9575053308899217
model_0,cos,3,0,0,0.961387299389236,0.9614238221893303,0.9614200304496703,0.9615081054216159
model_0,cos,4,0,0,0.9647265456159049,0.9648931367468159,0.9646043852259734,0.96473317468707
model_0,cos,5,0,0,0.9683939075206758,0.9682830782784231,0.9684255082786474,0.9679921899980286
model_0,cos,1,1,1,0.9455333346679028,0.9454996019682933,0.9454368625086425,0.9455358420815315
model_0,cos,5,1,1,0.9679330637226393,0.9681571335497858,0.9678702514966112,0.9678169522527134
model_0,cos,4,2,2,0.9643630182018753,0.9644349929378137,0.9643738746600394,0.9642930112904481
model_0,cos,4,4,4,0.9642180343310711,0.9642884927255008,0.9640497828957416,0.9643235791405466
model_0,cos,2,2,2,0.9576242041352618,0.9573369285930889,0.9572724850669555,0.9574523458414933
model_1,cos,0,0,0,0.8954529159166212,0.895462462434488,0.8954635300069911,0.8954382504508132
model_1,cos,1,0,0,0.9407881880028011,0.9402947129212016,0.9406876624386696,0.9406805899931118
model_1,cos,2,0,0,0.9546523328980507,0.9547965505142127,0.9548038608758705,0.954787713892491
model_1,cos,3,0,0,0.9595230253890091,0.9593440738266852,0.9592915898895046,0.9592654696435751
model_1,cos,4,0,0,0.9651196038664573,0.96509768704337,0.9652135532107974,0.965170630569909
model_1,cos,5,0,0,0.9689014410207368,0.9688937265985288,0.9687096078723105,0.9688324650213221
model_1,cos,1,1,1,0.9389538993971376,0.9387979351618708,0.9390859845484472,0.9388984015502391
model_1,cos,5,1,1,0.9682636862005688,0.9683923312816196,0.9682908771923546,0.9680928947864695
